Upper Niger,Bani,Niger Delta,Sahara Dunes,Niger@Gao,Ka,Oli,Sokoto,Middle Niger,Benue (Upstream),Lower Niger
1424.6,,2932.3,2149.5,1716.3,,1571.8,2561,2160.5,736.1,652.3
1470.8,,2974.4,2150.5,1758.6,,1587.7,2600,2164.7,745.8,656.6
1937.3,,3014.7,2167.6,1772.9,,1596.2,,2200.8,747.3,657.2
1939.3,,3056,2181.2,1786.9,,1613.2,,2211.3,755.8,658.5
1947.9,,3069,2188.5,1792.5,,1619.3,,2212,756.9,658.8
1988.5,,3121.7,2195.9,1800.5,,1624.5,,2212.8,768.4,662.9
1991.3,,3564,2562.8,1807.4,,1632.6,,2218.7,779.8,664.9
1991.5,,,2584.6,1816,,1635.5,,2231.6,796.8,666.1
1997.2,,,2625.5,1817.7,,1639.1,,2252.6,820.8,672.7
2012.6,,,2702.8,1826.5,,1639.3,,2302.4,920.4,676.2
2025.9,,,2711.2,1847.4,,1646.6,,2332,928.2,677.1
2038.3,,,2789.7,1870,,1681.2,,2346.8,975.8,677.8
2044.8,,,354.1,1876.6,,1681.5,,2510.9,1000.4,679
2059,,,521.5,1878.4,,1686.7,,2516,1008.1,684.9
2062,,,524.8,1880.8,,1687.9,,145,1009.3,697
2062.5,,,538.8,1889.6,,1703,,180,1149.3,700.7
2063.4,,,546.7,1893,,1731.3,,540.1,1198.9,710.6
2064.8,,,550.7,1901.4,,1743.5,,543.7,1329.9,715.3
2068.6,,,555.3,1902.6,,1772.6,,548.3,1510.1,764.7
2070.6,,,558.6,1917.5,,1827.8,,558.2,1759.9,770.6
2075.3,,,564.9,1941.9,,1862.8,,559,1798.5,838.2
2076.3,,,568.9,1957.7,,1874.8,,560.7,1818.4,840
2078.3,,,573.4,1958.2,,1881.6,,560.8,1821.9,880.8
2079.3,,,578.9,1996.8,,1907,,562.9,1855,886
2079.5,,,579.6,1997.4,,1943.1,,563.2,1866.8,907.8
2081.8,,,587.3,2002.3,,1948.9,,565.4,1990.3,910.3
2083.5,,,589,2007.4,,1959.5,,566.7,2012.4,967.3
2086.4,,,589.2,2025.9,,1963.4,,568.8,2122.3,974.3
2086.6,,,593.3,2029.8,,2003.9,,569.3,2158.2,988.7
2090.1,,,594.9,2031.5,,2006.7,,571.3,2317.9,1774.2
2090.7,,,595,2034.7,,2015.2,,573.1,2578.4,1928
2091.8,,,596.6,2036.6,,2041.4,,573.3,,2047.1
2093.8,,,597.1,2048.2,,2046.5,,575.5,,2101.9
2097.5,,,605.9,2062.7,,2046.7,,576.2,,2147.1
2101.7,,,606.6,2095.8,,2056.5,,577.5,,66.1
2104.1,,,607.4,2147.6,,2071.8,,577.6,,77.1
2104.4,,,609.7,2151.6,,2077.5,,577.8,,154.6
2107.5,,,610.7,2221.8,,2086.6,,580.4,,169.7
2111,,,616.8,2223,,2100.9,,580.7,,205.1
2112,,,616.8,2261.5,,2113.2,,580.9,,374.8
2113.1,,,620.4,2367.1,,2115.1,,582.7,,486
2116.2,,,622.3,2369.3,,2126.5,,590,,502.8
2118.3,,,624.2,2494.1,,2130.5,,592.8,,513.1
2123.9,,,626.8,2569.8,,2141.8,,593.3,,522.9
2127.9,,,626.9,2641.3,,2142.5,,594.6,,524.1
2133.1,,,628.1,2660.1,,2162.6,,596.3,,526.3
2138.2,,,628.6,3502,,2165.7,,596.8,,538.2
2142.1,,,629.9,,,2176.1,,600.7,,543.4
2144.6,,,631.6,,,2212.5,,602.1,,547.5
2145.7,,,637,,,2215.5,,605.2,,548.2
2153,,,639.2,,,2216.3,,606.4,,554.9
2172.4,,,639.8,,,2449.5,,606.9,,560.5
2206.2,,,642.1,,,,,606.9,,560.9
2283.1,,,646.9,,,,,608.7,,561.3
2454.8,,,650.3,,,,,609.1,,562.7
2589.6,,,652.7,,,,,610.1,,562.9
2677.4,,,653.2,,,,,611.5,,564.2
2717.6,,,654.4,,,,,613,,564.3
2740.4,,,661.5,,,,,614.1,,565.2
2759.1,,,663.8,,,,,614.2,,565.7
2761.7,,,668.2,,,,,614.6,,566
2784.9,,,671.3,,,,,617.2,,566.4
2793.9,,,672.2,,,,,618,,568.1
2796.9,,,673.2,,,,,623.5,,568.2
2815.5,,,675.5,,,,,624.8,,568.7
2815.6,,,675.8,,,,,625.8,,568.9
2815.6,,,675.9,,,,,626.7,,572.7
2818.4,,,676.4,,,,,626.9,,572.7
2824.5,,,676.4,,,,,627.5,,573
2824.8,,,678,,,,,631.3,,574.1
2828.2,,,681.4,,,,,632.8,,575.1
2833,,,688.3,,,,,635.2,,575.6
2834.5,,,691.4,,,,,638.3,,577
2836,,,691.6,,,,,644.7,,577.1
2837.4,,,698.2,,,,,646.6,,577.5
2838.9,,,699.5,,,,,647.3,,577.6
2840.7,,,699.8,,,,,647.8,,578.5
2844,,,700.5,,,,,650.4,,580.2
2844.6,,,703.4,,,,,656.5,,580.5
2844.9,,,707,,,,,661,,580.5
2845.9,,,707.8,,,,,661.8,,582.1
2848,,,711.3,,,,,670.2,,583.9
2850.8,,,714.8,,,,,670.8,,584.8
2851.6,,,715.5,,,,,671.7,,585.7
2862.8,,,723,,,,,691.9,,585.9
2878.6,,,736,,,,,692.1,,586.2
2886.8,,,740.2,,,,,700,,586.7
2887.3,,,792,,,,,720.7,,586.9
2887.9,,,803.1,,,,,739.6,,588.3
2888.5,,,849.2,,,,,750.2,,588.5
2890.5,,,865.5,,,,,774.8,,590.5
2891.9,,,904.3,,,,,788.5,,591.1
2893.5,,,935.2,,,,,824.4,,591.8
2898.2,,,984.7,,,,,824.6,,592.4
2904.6,,,1038.9,,,,,828.4,,593.3
2905.8,,,1061.1,,,,,849.2,,594.5
2908.1,,,1078,,,,,911.4,,597.5
2930.5,,,1248.5,,,,,924.1,,597.9
2933.6,,,1249.9,,,,,924.4,,598.2
2934.5,,,1635.5,,,,,956.9,,598.5
2935.4,,,1784.1,,,,,969.4,,600.1
2936.9,,,1800.2,,,,,994.9,,600.1
2940.7,,,1812.1,,,,,1001.7,,601.8
2948.3,,,1820.3,,,,,1005.8,,602
2951,,,1832.4,,,,,1017.1,,608.7
2962.8,,,1844,,,,,1037.9,,609.7
2967.7,,,1854.7,,,,,1040.1,,609.8
2974.1,,,1896.7,,,,,1071.7,,611.7
2992.1,,,1899.6,,,,,1272.5,,613.1
3019.5,,,1929.7,,,,,1354.9,,614.3
3083.3,,,1935.2,,,,,1740.5,,615.1
3107.4,,,1942.9,,,,,1760.7,,615.4
3112.3,,,2005,,,,,1775.8,,616.1
3252,,,2023.9,,,,,1785.8,,616.3
3357.4,,,2026.4,,,,,1791.2,,618.4
573.9,,,2047.7,,,,,1803.1,,618.4
598,,,2062.9,,,,,1843.9,,621
987.1,,,2064.1,,,,,1942.4,,622.5
1115.2,,,2065.2,,,,,1959.8,,624.5
1879.9,,,2136.1,,,,,1978,,624.6
1937.9,,,2166.6,,,,,2005.5,,624.8
1972.5,,,2178.6,,,,,2008.9,,625.3
1972.9,,,2180.9,,,,,2051,,625.4
1976.7,,,2189.2,,,,,2090.1,,625.9
1978.4,,,2369.1,,,,,2090.6,,627.4
1983.4,,,2443.3,,,,,2092.1,,628.6
1991.9,,,2646.4,,,,,2115.3,,629
2007.5,,,2846.9,,,,,2123.3,,629.7
2013,,,2965.5,,,,,2129.3,,630.1
2017.8,,,3241.8,,,,,2145.8,,631.1
2022.3,,,170.8,,,,,2147.6,,632.8
2022.7,,,180,,,,,2170.9,,636
2027,,,189,,,,,2179.5,,638.9
2038.8,,,189.2,,,,,2179.9,,644.4
2042.7,,,265.7,,,,,2194.7,,644.5
2044.9,,,523.7,,,,,2196.3,,645.3
2045,,,528.7,,,,,2222.6,,646
2048.2,,,554.1,,,,,2324,,646.6
2050.3,,,555.7,,,,,2386.9,,647.6
2051.8,,,556.4,,,,,2470.5,,647.9
2052.3,,,556.4,,,,,2553.6,,648.6
2056.6,,,558.2,,,,,,,649.2
2058.9,,,561.6,,,,,,,656.2
2060.2,,,566,,,,,,,657.1
2061.2,,,569.2,,,,,,,657.1
2068.9,,,574,,,,,,,659.8
2069.9,,,578.8,,,,,,,660.4
2076.7,,,579.8,,,,,,,666.9
2078.1,,,580.1,,,,,,,670
2079.6,,,581.1,,,,,,,671.2
2080,,,583.9,,,,,,,676.6
2084.5,,,584.2,,,,,,,691
2085.2,,,584.5,,,,,,,695.9
2090.3,,,586,,,,,,,697.9
2095.1,,,586.8,,,,,,,700.9
2098.3,,,591.2,,,,,,,705.6
2099.7,,,591.2,,,,,,,713.6
2100.7,,,593.3,,,,,,,732.1
2108.9,,,594.6,,,,,,,751.6
2116.9,,,594.9,,,,,,,770.6
2122.4,,,595.8,,,,,,,773.4
2124.8,,,597.3,,,,,,,778.7
2134.3,,,597.7,,,,,,,809.3
2137.8,,,599.4,,,,,,,823.3
2149.4,,,600.7,,,,,,,928.4
2160.8,,,603.2,,,,,,,934.7
2163.3,,,603.3,,,,,,,961.7
2163.6,,,603.4,,,,,,,971.5
2173.5,,,605.6,,,,,,,972.1
2186.4,,,607.4,,,,,,,1029.5
2516.1,,,609,,,,,,,1304
2640,,,610.4,,,,,,,1648
2666,,,610.8,,,,,,,1688.1
2723.2,,,616.6,,,,,,,1743.3
2730.1,,,616.9,,,,,,,1765.5
2756.5,,,618.3,,,,,,,1831.3
2765.1,,,621.3,,,,,,,1861.8
2779,,,621.6,,,,,,,1883.6
2785.4,,,621.9,,,,,,,1889.7
2802.8,,,622.6,,,,,,,1911.5
2807.7,,,623.5,,,,,,,1947.2
2817.9,,,623.7,,,,,,,2034.3
2819,,,625.4,,,,,,,2074.9
2819.3,,,625.9,,,,,,,2150.2
2821.5,,,626.4,,,,,,,2182.1
2822.2,,,626.9,,,,,,,2190
2834.5,,,627,,,,,,,2233.5
2838.5,,,627.7,,,,,,,2238.2
2845.3,,,632.5,,,,,,,2504.1
2847.8,,,633.1,,,,,,,2606.4
2852.8,,,636.9,,,,,,,3330.8
2857.9,,,637.3,,,,,,,153.7
2863.1,,,638,,,,,,,168.8
2866.5,,,642.1,,,,,,,190.2
2882.2,,,643.4,,,,,,,191
2882.3,,,650.4,,,,,,,341.1
2885.8,,,654.4,,,,,,,412.2
2886,,,655.8,,,,,,,516.3
2886.4,,,657.6,,,,,,,543.3
2895.5,,,657.8,,,,,,,550.4
2897.3,,,660.3,,,,,,,552.2
2910.9,,,661.1,,,,,,,556.5
2929.2,,,661.3,,,,,,,559.7
3004.3,,,666.4,,,,,,,562
3037,,,671.8,,,,,,,562.9
3066.4,,,671.9,,,,,,,567.4
3188.6,,,672,,,,,,,567.6
3207.3,,,672.5,,,,,,,568.6
3404.7,,,672.7,,,,,,,569
3712.8,,,672.9,,,,,,,570.3
,,,675.1,,,,,,,570.8
,,,675.9,,,,,,,571.9
,,,676.6,,,,,,,572.2
,,,679.4,,,,,,,572.5
,,,686.6,,,,,,,572.6
,,,696.9,,,,,,,573.1
,,,720.5,,,,,,,574.8
,,,720.6,,,,,,,574.8
,,,725.8,,,,,,,575.2
,,,729.4,,,,,,,575.5
,,,740.5,,,,,,,576
,,,745.1,,,,,,,576.4
,,,749.8,,,,,,,578.7
,,,752.9,,,,,,,578.8
,,,763.1,,,,,,,579.8
,,,767.1,,,,,,,581.2
,,,775.1,,,,,,,581.4
,,,802.7,,,,,,,581.7
,,,804.6,,,,,,,582.2
,,,841.7,,,,,,,585.3
,,,914.6,,,,,,,589.8
,,,914.7,,,,,,,590.3
,,,917.9,,,,,,,590.3
,,,921.2,,,,,,,590.7
,,,921.6,,,,,,,591.1
,,,944.9,,,,,,,591.5
,,,954.6,,,,,,,593.7
,,,972.3,,,,,,,593.9
,,,987,,,,,,,594
,,,991.6,,,,,,,594.6
,,,1001.8,,,,,,,596.7
,,,1013.6,,,,,,,597.1
,,,1031.1,,,,,,,597.2
,,,1055.5,,,,,,,599.4
,,,1056.4,,,,,,,600
,,,1072,,,,,,,603.9
,,,1072.9,,,,,,,604.1
,,,1082.4,,,,,,,604.4
,,,1112.3,,,,,,,604.5
,,,1529.8,,,,,,,604.8
,,,1726.4,,,,,,,605.5
,,,1740,,,,,,,606.8
,,,1750.8,,,,,,,608.6
,,,1795.1,,,,,,,609.3
,,,1909.5,,,,,,,610.5
,,,1910.2,,,,,,,610.6
,,,1913.6,,,,,,,610.6
,,,1927.6,,,,,,,610.8
,,,1939,,,,,,,611.4
,,,1939.9,,,,,,,611.5
,,,1983.7,,,,,,,611.7
,,,2006.5,,,,,,,614.1
,,,2007.6,,,,,,,614.2
,,,2124.6,,,,,,,615.9
,,,2156,,,,,,,617
,,,2165,,,,,,,617.3
,,,2184.9,,,,,,,617.7
,,,2331.3,,,,,,,617.7
,,,2344.8,,,,,,,618.8
,,,2360.7,,,,,,,620.7
,,,2423.8,,,,,,,621.2
,,,2456.3,,,,,,,623.5
,,,2469.5,,,,,,,625
,,,2494.1,,,,,,,626.5
,,,2532.2,,,,,,,628.6
,,,2592.6,,,,,,,631.1
,,,,,,,,,,631.9
